"TouristSpotId","TourApiContentId","Name","Address","Status","ImageUrl","SourcePageUrl","SourceTitle","ProviderHost","HttpStatus","ContentType","VerifiedAt","Notes"
"28138","1600978","화동서원(김제)","전북특별자치도 김제시 장화동","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/99/3363699_image2_1.JPG","https://www.korearank.com/tour/tour_detail.php?uid=32281","화동서원(김제) (2026) - 전북특별자치도 김제시 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"28180","1622150","거제민속박물관","경상남도 거제시 대금산로 339-7 거제민속박물관","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28208","2704681","라디오스타박물관","강원특별자치도 영월군 영월읍 금강공원길 84-3","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28282","130950","인천어린이박물관","인천광역시 미추홀구 매소홀로 618 문학경기장","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/11/1745511_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=11073","인천어린이박물관 (2026) - 인천광역시 미추홀구 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"28296","130906","고성탈박물관","경상남도 고성군 고성읍 율대2길 23","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/04/1611204_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=11098","고성탈박물관 (2026) - 경상남도 고성군 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"28321","125991","서산 용현리 마애여래삼존상","충청남도 서산시 운산면 마애삼존불길 65-13","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28429","126229","경주민속공예촌","경상북도 경주시 보불로 230 (하동)","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28617","1600706","저산서원(김제)","전북특별자치도 김제시 공덕면 회룡길 423-6","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28618","1600719","정종수 고택","전북특별자치도 김제시 장화2길 150-5","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28619","1600728","지음서원","전북특별자치도 김제시 진멀길 134-7","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28626","1607203","경성대학교 조류관","부산광역시 남구 수영로 309","APPROVED_TOURAPI_INDEX","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=622ae373-cfef-4e0e-9f1b-62faacbdb504","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=13e56871-2b2e-4d47-b264-df413e1e517f","경성대학교 조류관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","korean.visitkorea.or.kr","200","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"28635","1687304","성마루미술관","충청북도 충주시 대소원면 장성길 38-1","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28868","1607119","오륜대 한국순교자박물관","부산광역시 금정구 오륜대로 106-1","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28869","1957320","화산서원(장수)","전북특별자치도 장수군 계남면 화산길 24-21","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"28967","1584115","익산 김병순 고택","전북특별자치도 익산시 함라면 수동길 20","APPROVED_OFFICIAL_WEB","https://dl.nanet.go.kr/storage/thumb/NONB/1201/9680/NONB1201968066/NONB1201968066_2l.jpeg","https://dl.nanet.go.kr/SearchDetailView.do?cn=NONB1201968066","「익산 김병순 고택」 국가민속문화재 지정 | 국회도서관 국회전자도서관","dl.nanet.go.kr","206","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"28994","129816","부산여자대학교 차박물관","부산광역시 부산진구 진남로 506 부산여자대학","APPROVED_TOURAPI_INDEX","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1695df8-dbfd-44e6-9c9b-547d960da31e","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0e707bf4-04c0-45b9-a214-94a21fc3e17d","부산여자대학교 차박물관> 여행지 :대한민국 구석구석 부산여자대학교 차박물관> 여행지 :대한민국 구석구석","korean.visitkorea.or.kr","200","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"29016","2568489","명성산성(울음산성)","강원특별자치도 철원군 갈말읍 명성산","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"29337","1955058","영양향교","경상북도 영양군 일월면 향교길 22-16","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/79/2046179_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=31779","영양향교 - 경상북도 영양군 - 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
