"TouristSpotId","TourApiContentId","Name","Address","Status","Provider","ProviderItemName","ImageUrl","SourcePageUrl","LicenseCode","LicenseUrl","Attribution","ImageDescription","HttpStatus","ContentType","VerifiedAt","Notes"
"27659","1621764","동강서원","경상북도 경주시 강동면 유금강정길 40-25","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27710","1621680","용산서원(경주)","경상북도 경주시 내남면 포석로 110-34","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27750","127243","봉강재","경상북도 포항시 북구 기계면 기남길253번길 74","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27757","1955906","옥병서원","경기도 포천시 창수면 옥수로327번길 195","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27798","126881","귀암사","충청남도 금산군 부리면 평촌1길 2","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27799","127184","고려궁지","인천광역시 강화군 강화읍 북문길 42","COMMONS_SOURCE_MISSING","Openverse/wikimedia","File:강화 고려궁지-2009 01 20.jpg","https://upload.wikimedia.org/wikipedia/commons/2/27/%EA%B0%95%ED%99%94_%EA%B3%A0%EB%A0%A4%EA%B6%81%EC%A7%80-2009_01_20.jpg","https://commons.wikimedia.org/w/index.php?curid=51873324","BY-SA","https://creativecommons.org/licenses/by-sa/4.0/","작가: Anne1482; 원문과 라이선스 재확인 필요","File:강화 고려궁지-2009 01 20.jpg","429","text/html","2026-09-15","Openverse가 가리킨 Commons pageid가 원문 API에서 missing으로 확인되어 사용 제외"
"27966","1940880","요산김정한문학관","부산광역시 금정구 팔송로 60-6 (남산동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27991","1955488","함양향교","경상남도 함양군 함양읍 원교길 50","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"28138","1600978","화동서원(김제)","전북특별자치도 김제시 장화동","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"28180","1622150","거제민속박물관","경상남도 거제시 대금산로 339-7 거제민속박물관","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"28208","2704681","라디오스타박물관","강원특별자치도 영월군 영월읍 금강공원길 84-3","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"28282","130950","인천어린이박물관","인천광역시 미추홀구 매소홀로 618 문학경기장","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"28296","130906","고성탈박물관","경상남도 고성군 고성읍 율대2길 23","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"28321","125991","서산 용현리 마애여래삼존상","충청남도 서산시 운산면 마애삼존불길 65-13","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"28384","1959857","송호서원(합천)","경상남도 합천군 대병면 신성동2길 22-3","CONDITIONAL","국가유산청 국가유산포털","합천 송호서원","https://www.khs.go.kr/unisearch/images/cultural_material/1664051.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0001020000000&ccbaCtcd=38&ccbaKdcd=31&pageNo=1_1_1_0","KHS_IMAGE_NURI_D","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","송호서원(배면)","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 90; 검색어 '송호서원'; imageNuri=D; 재시도에서 HTTP 206 image/jpg 확인"
"28427","127616","서울 정릉(신덕황후) [유네스코 세계유산]","서울특별시 성북구 아리랑로19길 116 (정릉동)","APPROVED","국가유산청 국가유산포털","서울 정릉","https://www.khs.go.kr/unisearch/images/history_site/2020081411072800.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0002080000000&ccbaCtcd=11&ccbaKdcd=13&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","서울 정릉_능침","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '서울 정릉'; imageNuri=A"
"28429","126229","경주민속공예촌","경상북도 경주시 보불로 230 (하동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"28617","1600706","저산서원(김제)","전북특별자치도 김제시 공덕면 회룡길 423-6","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"28618","1600719","정종수 고택","전북특별자치도 김제시 장화2길 150-5","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"28619","1600728","지음서원","전북특별자치도 김제시 진멀길 134-7","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"28626","1607203","경성대학교 조류관","부산광역시 남구 수영로 309","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"28628","1613853","수만리마애석불","전북특별자치도 완주군 동상면","APPROVED","국가유산청 국가유산포털","수만리마애석불","https://www.khs.go.kr/unisearch/images/tangible_cult_prop/1639486.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000840000000&ccbaCtcd=35&ccbaKdcd=21&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","수만리마애석불","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '수만리마애석불'; imageNuri=A"
"28629","1623995","단재신채호선생생가지","대전광역시 중구 단재로229번길 47","APPROVED","국가유산청 국가유산포털","단재신채호선생생가지","https://www.khs.go.kr/unisearch/images/monument/1645812.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000260000000&ccbaCtcd=25&ccbaKdcd=23&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","단재신채호선생생가지","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '단재신채호선생생가지'; imageNuri=A"
"28635","1687304","성마루미술관","충청북도 충주시 대소원면 장성길 38-1","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
